,index,Job Title,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Hourly,Employer provided,Salary_Min,Salary_Max,Lower Salary,Upper Salary,Avg Salary(K),company_txt,Job Location,Age,job_title_sim,seniority_by_title,Degree
15,15,Data Engineer I,3.6,"Audible
3.6","Newark, NJ","Newark, NJ",1001 - 5000 ,1995,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,Unknown / Non-Applicable,-1,0,0,102,190 ,102,190,146.0,Audible,NJ,26,data engineer,na,na
16,16,"Scientist I/II, Biology",3.9,"Blueprint Medicines
3.9","Cambridge, MA","Cambridge, MA",51 - 200 ,2011,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),"bluebird bio, Agios Pharmaceuticals, Celgene",0,0,67,137 ,67,137,102.0,Blueprint Medicines,MA,10,other scientist,na,P
17,17,Customer Data Scientist,4.3,"h2o.ai
4.3","Mountain View, CA","Mountain View, CA",201 - 500 ,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,118,189 ,118,189,153.5,h2o.ai,CA,10,data scientist,na,M
18,18,Data Scientist - Health Data Analytics,4.2,"Nuna
4.2","San Francisco, CA","San Francisco, CA",51 - 200 ,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,110,175 ,110,175,142.5,Nuna,CA,11,data scientist,na,na
19,19,Data Scientist,4.0,"Pinnacol Assurance
4.0","Denver, CO","Denver, CO",501 - 1000 ,1915,Nonprofit Organization,Insurance Carriers,Insurance,$500 million to $1 billion (USD),-1,0,0,64,111 ,64,111,87.5,Pinnacol Assurance,CO,106,data scientist,na,M
20,20,Data Scientist,3.2,"Porch
3.2","Seattle, WA","Seattle, WA",201 - 500 ,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"Angie's List, HomeAdvisor, Thumbtack",0,0,81,130 ,81,130,105.5,Porch,WA,9,data scientist,na,M
21,21,Senior Data Scientist / Machine Learning,3.9,"Health IQ
3.9","Dallas, TX","Mountain View, CA",201 - 500 ,2013,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,-1,0,0,73,119 ,73,119,96.0,Health IQ,TX,8,data scientist,sr,P
22,22,Data Scientist - Quantitative,3.8,"Truckstop.com
3.8","Chicago, IL","New Plymouth, ID",501 - 1000 ,1995,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,-1,0,0,86,139 ,86,139,112.5,Truckstop.com,IL,26,data scientist,na,M
23,23,Data Scientist,4.3,"SMC 3
4.3","Louisville, KY","Peachtree City, GA",51 - 200 ,1935,Nonprofit Organization,Logistics & Supply Chain,Transportation & Logistics,$10 to $25 million (USD),-1,0,0,63,105 ,63,105,84.0,SMC 3,KY,86,data scientist,na,M
24,25,Data Scientist,4.0,"Novetta
4.0","Herndon, VA","Mc Lean, VA",501 - 1000 ,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton",0,0,109,177 ,109,177,143.0,Novetta,VA,9,data scientist,na,na
25,26,Digital Health Data Scientist,4.0,"Pfizer
4.0","Cambridge, MA","New York, NY",10000+ ,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,0,0,63,110 ,63,110,86.5,Pfizer,MA,172,data scientist,na,na
26,27,Data Scientist,3.5,"First Tech Federal Credit Union
3.5","Hillsboro, OR","San Jose, CA",1001 - 5000 ,1952,Company - Private,Banks & Credit Unions,Finance,$100 to $500 million (USD),-1,0,0,75,124 ,75,124,99.5,First Tech Federal Credit Union,OR,69,data scientist,na,na
27,28,Associate Data Analyst,3.7,"The Hanover Insurance Group
3.7","Worcester, MA","Worcester, MA",5001 - 10000 ,1852,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),-1,0,0,34,61 ,34,61,47.5,The Hanover Insurance Group,MA,169,analyst,na,na
28,29,Clinical Data Scientist,4.0,"Pfizer
4.0","Groton, CT","New York, NY",10000+ ,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,0,0,63,105 ,63,105,84.0,Pfizer,CT,172,data scientist,na,M
29,30,Data Scientist,4.8,"KnowBe4
4.8","Clearwater, FL","Clearwater, FL",501 - 1000 ,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),-1,0,0,80,90 ,80,90,85.0,KnowBe4,FL,11,data scientist,na,M
30,31,Data Scientist,3.8,"PNNL
3.8","Richland, WA","Richland, WA",1001 - 5000 ,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,56,97 ,56,97,76.5,PNNL,WA,56,data scientist,na,na
31,32,Data Scientist,3.6,"Amrock
3.6","Detroit, MI","Detroit, MI",1001 - 5000 ,1997,Company - Private,Real Estate,Real Estate,$500 million to $1 billion (USD),-1,0,0,72,120 ,72,120,96.0,Amrock,MI,24,data scientist,na,M
32,33,Data Scientist / Machine Learning Expert,3.8,"Novartis
3.8","Cambridge, MA","Basel, Switzerland",10000+ ,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,0,0,86,143 ,86,143,114.5,Novartis,MA,25,data scientist,na,na
33,34,Data Scientist,3.8,"Juniper Networks
3.8","Sunnyvale, CA","Sunnyvale, CA",5001 - 10000 ,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),-1,0,0,93,149 ,93,149,121.0,Juniper Networks,CA,25,data scientist,na,M
34,35,Data Scientist,4.7,"New England Biolabs
4.7","Ipswich, MA","Ipswich, MA",201 - 500 ,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,"Thermo Fisher Scientific, Enzymatics, Illumina",0,0,85,140 ,85,140,112.5,New England Biolabs,MA,47,data scientist,na,na
35,36,Web Data Analyst,4.2,"Clarity Insights
4.2","San Jose, CA","Chicago, IL",201 - 500 ,2008,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,0,77,135 ,77,135,106.0,Clarity Insights,CA,13,analyst,na,na
36,37,Data Scientist,3.5,"Esri
3.5","Redlands, CA","Redlands, CA",1001 - 5000 ,1969,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),Pitney Bowes,0,0,82,132 ,82,132,107.0,Esri,CA,52,data scientist,na,M
37,38,Data Scientist,4.7,"Systems & Technology Research
4.7","Woburn, MA","Woburn, MA",201 - 500 ,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1,0,0,83,137 ,83,137,110.0,Systems & Technology Research,MA,11,data scientist,na,P
38,39,Senior Data Scientist,3.5,"Sartorius
3.5","Fremont, CA","Gottingen, Germany",5001 - 10000 ,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),-1,0,0,115,180 ,115,180,147.5,Sartorius,CA,151,data scientist,sr,M
39,40,Data Engineer,3.5,"Lancer Insurance
3.5","Long Beach, NY","Long Beach, NY",201 - 500 ,1985,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),-1,0,0,74,138 ,74,138,106.0,Lancer Insurance,NY,36,data engineer,na,M
40,41,Data Analyst,4.2,"Sauce Labs
4.2","San Francisco, CA","San Francisco, CA",201 - 500 ,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),"BrowserStack, Selenium Master, Perfecto Mobile",0,0,64,112 ,64,112,88.0,Sauce Labs,CA,13,analyst,na,na
41,43,Data Engineer,3.6,"Persivia
3.6","Marlborough, MA","Lowell, MA",Jan-50,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,0,0,68,129 ,68,129,98.5,Persivia,MA,-1,data engineer,na,na
42,44,Data Scientist - Algorithms & Inference,4.2,"Nuna
4.2","San Francisco, CA","San Francisco, CA",51 - 200 ,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,110,175 ,110,175,142.5,Nuna,CA,11,data scientist,na,M
43,45,Scientist,3.4,"Edgewell Personal Care
3.4","Allendale, NJ","Shelton, CT",5001 - 10000 ,2015,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),"Unilever, Procter & Gamble, Henkel",0,0,52,113 ,52,113,82.5,Edgewell Personal Care,NJ,6,other scientist,na,M
44,46,Senior Data Scientist,4.3,"Equity Residential
4.3","Chicago, IL","Chicago, IL",1001 - 5000 ,1993,Company - Public,Real Estate,Real Estate,$2 to $5 billion (USD),"UDR, AvalonBay Communities, Essex Property Trust",0,0,110,150(Employer est.),110,150,130.0,Equity Residential,IL,28,data scientist,sr,M
45,48,Data Scientist,5.0,"BPA Services
5.0","Washington, DC","Alexandria, VA",unknown,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,1,Employer Provided Salary:150,160,150,160,155.0,BPA Services,DC,-1,data scientist,na,na
46,49,Lead Data Scientist,3.7,"Visa Inc.
3.7","Bellevue, WA","Foster City, CA",10000+ ,1958,Company - Public,IT Services,Information Technology,$10+ billion (USD),"American Express, Mastercard, Discover",0,0,158,211 ,158,211,184.5,Visa Inc.,WA,63,data scientist,sr,na
47,50,Associate Data Analyst,3.1,"Intrado
3.1","Longmont, CO","Omaha, NE",5001 - 10000 ,1986,Company - Private,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),-1,0,0,20,39 ,20,39,29.5,Intrado,CO,35,analyst,na,M
48,51,Spectral Scientist/Engineer,4.7,"Centauri
4.7","Beavercreek, OH","Chantilly, VA",501 - 1000 ,1999,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),"TASC, Vencore, Booz Allen Hamilton",0,0,56,117 ,56,117,86.5,Centauri,OH,22,other scientist,na,M
49,52,College Hire - Data Scientist - Open to December 2019 Graduates,3.7,"Caterpillar
3.7","Peoria, IL","Deerfield, IL",10000+ ,1925,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),"John Deere, Komatsu, CNH Industrial",0,0,63,99 ,63,99,81.0,Caterpillar,IL,96,data scientist,na,na
50,54,Data Scientist,3.8,"Zimmerman Advertising
3.8","Fort Lauderdale, FL","Fort Lauderdale, FL",501 - 1000 ,1984,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,0,0,68,114 ,68,114,91.0,Zimmerman Advertising,FL,37,data scientist,na,na
51,55,"Data Scientist, Office of Data Science",3.3,"Liberty Mutual Insurance
3.3","Boston, MA","Boston, MA",10000+ ,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),"Travelers, Allstate, State Farm",0,0,86,143 ,86,143,114.5,Liberty Mutual Insurance,MA,109,data scientist,na,na
52,56,Data Science Analyst,4.6,"Torch Technologies, Inc.
4.6","Huntsville, AL","Huntsville, AL",1001 - 5000 ,2002,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1,0,0,41,95 ,41,95,68.0,"Torch Technologies, Inc.",AL,19,data scientist,na,na
53,57,Data Scientist,3.7,"Swiss Re
3.7","Armonk, NY","Zurich, Switzerland",10000+ ,1863,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),"Munich Re, Hannover RE, SCOR",0,0,86,144 ,86,144,115.0,Swiss Re,NY,158,data scientist,na,M
54,58,Data Scientist,3.7,"Northrop Grumman
3.7","San Diego, CA","Falls Church, VA",10000+ ,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,0,0,80,139 ,80,139,109.5,Northrop Grumman,CA,82,data scientist,na,na
55,59,Data Scientist,3.5,"Sartorius
3.5","Albuquerque, NM","Gottingen, Germany",5001 - 10000 ,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),-1,0,0,56,95 ,56,95,75.5,Sartorius,NM,151,data scientist,na,M
56,60,Data Scientist,4.1,"Netskope
4.1","San Francisco, CA","Santa Clara, CA",501 - 1000 ,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Skyhigh Networks, Zscaler, NortonLifeLock",0,0,120,189 ,120,189,154.5,Netskope,CA,9,data scientist,na,P
57,61,Data Scientist,4.7,"1904labs
4.7","Saint Louis, MO","Saint Louis, MO",51 - 200 ,2016,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,"Slalom, Daugherty Business Solutions",0,0,111,176 ,111,176,143.5,1904labs,MO,5,data scientist,na,na
58,62,Data Scientist,4.1,"ClearOne Advantage
4.1","Baltimore, MD","Baltimore, MD",501 - 1000 ,2008,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1,0,0,54,93 ,54,93,73.5,ClearOne Advantage,MD,13,data scientist,na,na
59,63,Data Scientist,3.4,"CyrusOne
3.4","Dallas, TX","Dallas, TX",201 - 500 ,2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),"Digital Realty, CoreSite, Equinix",0,0,71,119 ,71,119,95.0,CyrusOne,TX,21,data scientist,na,na
60,65,Senior Data Scientist,4.4,"The David J. Joseph Company
4.4","Cincinnati, OH","Cincinnati, OH",201 - 500 ,1885,Subsidiary or Business Segment,Metals Brokers,Mining & Metals,Unknown / Non-Applicable,-1,0,0,82,132 ,82,132,107.0,The David J. Joseph Company,OH,136,data scientist,sr,M
61,66,Data Scientist,4.3,"USEReady
4.3","New York, NY","New York, NY",201 - 500 ,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,0,0,84,146 ,84,146,115.0,USEReady,NY,10,data scientist,na,na
62,67,Senior Risk Data Scientist,3.8,"Bill.com
3.8","Palo Alto, CA","Palo Alto, CA",501 - 1000 ,2006,Company - Public,Financial Transaction Processing,Finance,$50 to $100 million (USD),-1,0,0,107,172 ,107,172,139.5,Bill.com,CA,15,data scientist,sr,M
63,68,Data Scientist in Artificial Intelligence Early Career,3.8,"Pacific Northwest National Laboratory
3.8","Richland, WA","Richland, WA",1001 - 5000 ,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,49,85 ,49,85,67.0,Pacific Northwest National Laboratory,WA,56,data scientist,na,M
64,70,Data Scientist,3.8,"DICK'S Sporting Goods - Corporate
3.8","Coraopolis, PA","Coraopolis, PA",10000+ ,1948,Company - Public,Sporting Goods Stores,Retail,$5 to $10 billion (USD),"REI, Academy Sports + Outdoors, Cabela's",0,0,61,109 ,61,109,85.0,DICK'S Sporting Goods - Corporate,PA,73,data scientist,na,M
65,72,Data Scientist,2.8,"Berg Health
2.8","Framingham, MA","Framingham, MA",51 - 200 ,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),-1,0,0,88,148 ,88,148,118.0,Berg Health,MA,15,data scientist,na,P
66,73,Data Scientist,4.7,"Oversight Systems
4.7","Atlanta, GA","Atlanta, GA",51 - 200 ,2003,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),-1,0,0,60,99 ,60,99,79.5,Oversight Systems,GA,18,data scientist,na,na
67,75,Data Scientist - Research,3.1,"C Space
3.1","Boston, MA","Boston, MA",201 - 500 ,1999,Company - Public,Advertising & Marketing,Business Services,$100 to $500 million (USD),"IDEO, Gongos, Inc., Ipsos",0,0,41,72 ,41,72,56.5,C Space,MA,22,data scientist,na,na
68,76,Data Scientist,3.2,"Numeric, LLC
3.2","Philadelphia, PA","Chadds Ford, PA",Jan-50,-1,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),-1,0,0,96,161 ,96,161,128.5,"Numeric, LLC",PA,-1,data scientist,na,na
69,77,R&D Data Analysis Scientist,4.0,"HP Inc.
4.0","Vancouver, WA","Palo Alto, CA",10000+ ,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,0,0,65,130 ,65,130,97.5,HP Inc.,WA,82,other scientist,na,M
70,78,Analytics Consultant,4.4,"SpringML
4.4","Indianapolis, IN","Pleasanton, CA",Jan-50,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,52,81 ,52,81,66.5,SpringML,IN,6,data analitics,na,na
71,79,"Director, Data Science",3.6,"Grainger
3.6","Lake Forest, IL","Lake Forest, IL",10000+ ,1927,Company - Public,Wholesale,Business Services,$10+ billion (USD),-1,0,0,139,220 ,139,220,179.5,Grainger,IL,94,data scientist,na,M
72,80,Scientist,2.7,"EAG Laboratories
2.7","Maryland Heights, MO","San Diego, CA",501 - 1000 ,1978,Subsidiary or Business Segment,Research & Development,Business Services,$50 to $100 million (USD),-1,0,0,50,102 ,50,102,76.0,EAG Laboratories,MO,43,other scientist,na,P
73,81,Data Scientist SR,3.9,"The Buffalo Group
3.9","Charlottesville, VA","Reston, VA",501 - 1000 ,2010,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"ManTech, Booz Allen Hamilton, Leidos",0,0,85,139 ,85,139,112.0,The Buffalo Group,VA,11,data scientist,sr,M
74,82,Data Scientist,3.1,"Carmeuse
3.1","Pittsburgh, PA","Louvain-la-Neuve, Belgium",1001 - 5000 ,1860,Company - Private,Mining,Mining & Metals,$1 to $2 billion (USD),"Lhoist, Graymont, Sibelco Group",0,0,74,122 ,74,122,98.0,Carmeuse,PA,161,data scientist,na,M
75,83,R&D Sr Data Scientist,4.0,"HP Inc.
4.0","Vancouver, WA","Palo Alto, CA",10000+ ,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,0,0,99,157 ,99,157,128.0,HP Inc.,WA,82,data scientist,sr,M
76,84,Customer Data Scientist/Sales Engineer (Bay,4.3,"h2o.ai
4.3","Mountain View, CA","Mountain View, CA",201 - 500 ,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,79,222 ,79,222,150.5,h2o.ai,CA,10,data scientist,na,P
77,85,Research Scientist,1.9,"GNS Healthcare
1.9","Cambridge, MA","Cambridge, MA",51 - 200 ,2000,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),-1,0,0,57,118 ,57,118,87.5,GNS Healthcare,MA,21,other scientist,na,M
78,86,Data Scientist,3.3,"Peraton
3.3","Chantilly, VA","Herndon, VA",1001 - 5000 ,2017,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),-1,0,0,83,137 ,83,137,110.0,Peraton,VA,4,data scientist,na,na
79,87,Data Scientist,4.4,"Pactera
4.4","San Jose, CA","Beijing, China",10000+ ,1995,Company - Private,IT Services,Information Technology,$500 million to $1 billion (USD),"Infosys, EPAM, Accenture",0,0,86,141 ,86,141,113.5,Pactera,CA,26,data scientist,na,na
80,88,Data Scientist,3.9,"Nurx
3.9","San Francisco, CA","San Francisco, CA",51 - 200 ,2016,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),-1,0,0,94,154 ,94,154,124.0,Nurx,CA,5,data scientist,na,na
81,89,Jr. Business Data Analyst,4.7,"webfx.com
4.7","Harrisburg, PA","Harrisburg, PA",201 - 500 ,1997,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),-1,0,0,37,76 ,37,76,56.5,webfx.com,PA,24,analyst,jr,na
82,90,Data Scientist,4.5,"Johns Hopkins University Applied Physics Laboratory
4.5","Laurel, MD","Laurel, MD",5001 - 10000 ,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),"MIT Lincoln Laboratory, Lockheed Martin, Northrop Grumman",0,0,100,160 ,100,160,130.0,Johns Hopkins University Applied Physics Laboratory,MD,79,data scientist,na,na
83,91,Data Analyst,4.3,"Productive Edge
4.3","Chicago, IL","Chicago, IL",51 - 200 ,2008,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),"Numerator, Rise Interactive, Salom",0,0,55,100 ,55,100,77.5,Productive Edge,IL,13,analyst,na,na
84,92,Data Engineer,4.0,"Excella Consulting
4.0","Arlington, VA","Arlington, VA",201 - 500 ,2002,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1,0,0,60,114 ,60,114,87.0,Excella Consulting,VA,19,data engineer,na,na
85,93,Data Analyst,4.4,"Gensco
4.4","Tacoma, WA","Tacoma, WA",501 - 1000 ,1948,Company - Private,Wholesale,Business Services,$100 to $500 million (USD),-1,0,0,39,68 ,39,68,53.5,Gensco,WA,73,analyst,na,na
86,94,Staff Data Scientist - Technology,3.2,"Walmart
3.2","Plano, TX","Bentonville, AR",10000+ ,1962,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),"Target, Costco Wholesale, Amazon",0,0,106,172 ,106,172,139.0,Walmart,TX,59,data scientist,na,M
87,95,Data Scientist,3.8,"Logic20/20
3.8","San Jose, CA","Seattle, WA",201 - 500 ,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1,0,0,86,142 ,86,142,114.0,Logic20/20,CA,16,data scientist,na,M
88,96,Data Scientist,4.2,"goTRG
4.2","Miami, FL","Miami, FL",501 - 1000 ,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),-1,0,0,64,107 ,64,107,85.5,goTRG,FL,13,data scientist,na,na
89,97,Data Management Specialist,4.5,"NMR Consulting
4.5","Huntsville, AL","Chantilly, VA",51 - 200 ,1996,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,0,0,31,65 ,31,65,48.0,NMR Consulting,AL,25,na,na,na
90,99,E-Commerce Data Analyst,3.5,"iSeatz
3.5","New Orleans, LA","New Orleans, LA",51 - 200 ,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,34,62 ,34,62,48.0,iSeatz,LA,22,analyst,na,na
91,101,Sr. Scientist II,3.5,"Nektar Therapeutics
3.5","San Francisco, CA","San Francisco, CA",201 - 500 ,1990,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"Bristol-Myers Squibb, Merck, GlaxoSmithKline",0,0,117,231 ,117,231,174.0,Nektar Therapeutics,CA,31,other scientist,sr,M
92,102,Insurance Data Scientist,3.9,"TransUnion
3.9","Atlanta, GA","Chicago, IL",5001 - 10000 ,1968,Company - Public,Financial Analytics & Research,Finance,$1 to $2 billion (USD),-1,0,0,64,106 ,64,106,85.0,TransUnion,GA,53,data scientist,na,na
93,104,Data Modeler,4.7,"IT Concepts
4.7","Landover, MD","Vienna, VA",51 - 200 ,2003,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1,0,0,79,134 ,79,134,106.5,IT Concepts,MD,18,data modeler,na,na
94,105,Data Analyst / Scientist,4.2,"Scientific Research Corporation
4.2","Patuxent River, MD","Atlanta, GA",1001 - 5000 ,1988,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1,0,0,52,93 ,52,93,72.5,Scientific Research Corporation,MD,33,analyst,na,na
