,index,Job Title,Rating,Company Name,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Salary_Min,Salary_Max,Lower Salary,Upper Salary,Avg Salary(K),company_txt,Job Location,Age,job_title_sim,seniority_by_title,Degree,Location_City,Location_State,Headquarters_City,Headquarters_State
37,38,Data Scientist,4.7,Systems & Technology Research,201 - 500 ,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1,83,137 ,83,137,110.0,Systems & Technology Research,MA,11,data scientist,na,P,Woburn,MA,Woburn,MA
38,39,Senior Data Scientist,3.5,Sartorius,5001 - 10000 ,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),-1,115,180 ,115,180,147.5,Sartorius,CA,151,data scientist,sr,M,Fremont,CA,Gottingen,Germany
39,40,Data Engineer,3.5,Lancer Insurance,201 - 500 ,1985,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),-1,74,138 ,74,138,106.0,Lancer Insurance,NY,36,data engineer,na,M,Long Beach,NY,Long Beach,NY
40,41,Data Analyst,4.2,Sauce Labs,201 - 500 ,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),"BrowserStack, Selenium Master, Perfecto Mobile",64,112 ,64,112,88.0,Sauce Labs,CA,13,analyst,na,na,San Francisco,CA,San Francisco,CA
41,43,Data Engineer,3.6,Persivia,Jan-50,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,68,129 ,68,129,98.5,Persivia,MA,-1,data engineer,na,na,Marlborough,MA,Lowell,MA
42,44,Data Scientist - Algorithms & Inference,4.2,Nuna,51 - 200 ,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,110,175 ,110,175,142.5,Nuna,CA,11,data scientist,na,M,San Francisco,CA,San Francisco,CA
43,45,Scientist,3.4,Edgewell Personal Care,5001 - 10000 ,2015,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),"Unilever, Procter & Gamble, Henkel",52,113 ,52,113,82.5,Edgewell Personal Care,NJ,6,other scientist,na,M,Allendale,NJ,Shelton,CT
44,46,Senior Data Scientist,4.3,Equity Residential,1001 - 5000 ,1993,Company - Public,Real Estate,Real Estate,$2 to $5 billion (USD),"UDR, AvalonBay Communities, Essex Property Trust",110,150(Employer est.),110,150,130.0,Equity Residential,IL,28,data scientist,sr,M,Chicago,IL,Chicago,IL
45,48,Data Scientist,5.0,BPA Services,unknown,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Employer Provided Salary:150,160,150,160,155.0,BPA Services,DC,-1,data scientist,na,na,Washington,DC,Alexandria,VA
46,49,Lead Data Scientist,3.7,Visa Inc.,10000+ ,1958,Company - Public,IT Services,Information Technology,$10+ billion (USD),"American Express, Mastercard, Discover",158,211 ,158,211,184.5,Visa Inc.,WA,63,data scientist,sr,na,Bellevue,WA,Foster City,CA
47,50,Associate Data Analyst,3.1,Intrado,5001 - 10000 ,1986,Company - Private,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),-1,20,39 ,20,39,29.5,Intrado,CO,35,analyst,na,M,Longmont,CO,Omaha,NE
48,51,Spectral Scientist/Engineer,4.7,Centauri,501 - 1000 ,1999,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),"TASC, Vencore, Booz Allen Hamilton",56,117 ,56,117,86.5,Centauri,OH,22,other scientist,na,M,Beavercreek,OH,Chantilly,VA
49,52,College Hire - Data Scientist - Open to December 2019 Graduates,3.7,Caterpillar,10000+ ,1925,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),"John Deere, Komatsu, CNH Industrial",63,99 ,63,99,81.0,Caterpillar,IL,96,data scientist,na,na,Peoria,IL,Deerfield,IL
50,54,Data Scientist,3.8,Zimmerman Advertising,501 - 1000 ,1984,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,68,114 ,68,114,91.0,Zimmerman Advertising,FL,37,data scientist,na,na,Fort Lauderdale,FL,Fort Lauderdale,FL
51,55,"Data Scientist, Office of Data Science",3.3,Liberty Mutual Insurance,10000+ ,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),"Travelers, Allstate, State Farm",86,143 ,86,143,114.5,Liberty Mutual Insurance,MA,109,data scientist,na,na,Boston,MA,Boston,MA
52,56,Data Science Analyst,4.6,"Torch Technologies, Inc.",1001 - 5000 ,2002,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1,41,95 ,41,95,68.0,"Torch Technologies, Inc.",AL,19,data scientist,na,na,Huntsville,AL,Huntsville,AL
53,57,Data Scientist,3.7,Swiss Re,10000+ ,1863,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),"Munich Re, Hannover RE, SCOR",86,144 ,86,144,115.0,Swiss Re,NY,158,data scientist,na,M,Armonk,NY,Zurich,Switzerland
54,58,Data Scientist,3.7,Northrop Grumman,10000+ ,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,80,139 ,80,139,109.5,Northrop Grumman,CA,82,data scientist,na,na,San Diego,CA,Falls Church,VA
55,59,Data Scientist,3.5,Sartorius,5001 - 10000 ,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),-1,56,95 ,56,95,75.5,Sartorius,NM,151,data scientist,na,M,Albuquerque,NM,Gottingen,Germany
56,60,Data Scientist,4.1,Netskope,501 - 1000 ,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Skyhigh Networks, Zscaler, NortonLifeLock",120,189 ,120,189,154.5,Netskope,CA,9,data scientist,na,P,San Francisco,CA,Santa Clara,CA
57,61,Data Scientist,4.7,1904labs,51 - 200 ,2016,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,"Slalom, Daugherty Business Solutions",111,176 ,111,176,143.5,1904labs,MO,5,data scientist,na,na,Saint Louis,MO,Saint Louis,MO
58,62,Data Scientist,4.1,ClearOne Advantage,501 - 1000 ,2008,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1,54,93 ,54,93,73.5,ClearOne Advantage,MD,13,data scientist,na,na,Baltimore,MD,Baltimore,MD
59,63,Data Scientist,3.4,CyrusOne,201 - 500 ,2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),"Digital Realty, CoreSite, Equinix",71,119 ,71,119,95.0,CyrusOne,TX,21,data scientist,na,na,Dallas,TX,Dallas,TX
60,65,Senior Data Scientist,4.4,The David J. Joseph Company,201 - 500 ,1885,Subsidiary or Business Segment,Metals Brokers,Mining & Metals,Unknown / Non-Applicable,-1,82,132 ,82,132,107.0,The David J. Joseph Company,OH,136,data scientist,sr,M,Cincinnati,OH,Cincinnati,OH
61,66,Data Scientist,4.3,USEReady,201 - 500 ,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,84,146 ,84,146,115.0,USEReady,NY,10,data scientist,na,na,New York,NY,New York,NY
62,67,Senior Risk Data Scientist,3.8,Bill.com,501 - 1000 ,2006,Company - Public,Financial Transaction Processing,Finance,$50 to $100 million (USD),-1,107,172 ,107,172,139.5,Bill.com,CA,15,data scientist,sr,M,Palo Alto,CA,Palo Alto,CA
63,68,Data Scientist in Artificial Intelligence Early Career,3.8,Pacific Northwest National Laboratory,1001 - 5000 ,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",49,85 ,49,85,67.0,Pacific Northwest National Laboratory,WA,56,data scientist,na,M,Richland,WA,Richland,WA
64,70,Data Scientist,3.8,DICK'S Sporting Goods - Corporate,10000+ ,1948,Company - Public,Sporting Goods Stores,Retail,$5 to $10 billion (USD),"REI, Academy Sports + Outdoors, Cabela's",61,109 ,61,109,85.0,DICK'S Sporting Goods - Corporate,PA,73,data scientist,na,M,Coraopolis,PA,Coraopolis,PA
65,72,Data Scientist,2.8,Berg Health,51 - 200 ,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),-1,88,148 ,88,148,118.0,Berg Health,MA,15,data scientist,na,P,Framingham,MA,Framingham,MA
66,73,Data Scientist,4.7,Oversight Systems,51 - 200 ,2003,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),-1,60,99 ,60,99,79.5,Oversight Systems,GA,18,data scientist,na,na,Atlanta,GA,Atlanta,GA
67,75,Data Scientist - Research,3.1,C Space,201 - 500 ,1999,Company - Public,Advertising & Marketing,Business Services,$100 to $500 million (USD),"IDEO, Gongos, Inc., Ipsos",41,72 ,41,72,56.5,C Space,MA,22,data scientist,na,na,Boston,MA,Boston,MA
68,76,Data Scientist,3.2,"Numeric, LLC",Jan-50,-1,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),-1,96,161 ,96,161,128.5,"Numeric, LLC",PA,-1,data scientist,na,na,Philadelphia,PA,Chadds Ford,PA
69,77,R&D Data Analysis Scientist,4.0,HP Inc.,10000+ ,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,65,130 ,65,130,97.5,HP Inc.,WA,82,other scientist,na,M,Vancouver,WA,Palo Alto,CA
70,78,Analytics Consultant,4.4,SpringML,Jan-50,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,52,81 ,52,81,66.5,SpringML,IN,6,data analitics,na,na,Indianapolis,IN,Pleasanton,CA
71,79,"Director, Data Science",3.6,Grainger,10000+ ,1927,Company - Public,Wholesale,Business Services,$10+ billion (USD),-1,139,220 ,139,220,179.5,Grainger,IL,94,data scientist,na,M,Lake Forest,IL,Lake Forest,IL
72,80,Scientist,2.7,EAG Laboratories,501 - 1000 ,1978,Subsidiary or Business Segment,Research & Development,Business Services,$50 to $100 million (USD),-1,50,102 ,50,102,76.0,EAG Laboratories,MO,43,other scientist,na,P,Maryland Heights,MO,San Diego,CA
73,81,Data Scientist SR,3.9,The Buffalo Group,501 - 1000 ,2010,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"ManTech, Booz Allen Hamilton, Leidos",85,139 ,85,139,112.0,The Buffalo Group,VA,11,data scientist,sr,M,Charlottesville,VA,Reston,VA
74,82,Data Scientist,3.1,Carmeuse,1001 - 5000 ,1860,Company - Private,Mining,Mining & Metals,$1 to $2 billion (USD),"Lhoist, Graymont, Sibelco Group",74,122 ,74,122,98.0,Carmeuse,PA,161,data scientist,na,M,Pittsburgh,PA,Louvain-la-Neuve,Belgium
75,83,R&D Sr Data Scientist,4.0,HP Inc.,10000+ ,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,99,157 ,99,157,128.0,HP Inc.,WA,82,data scientist,sr,M,Vancouver,WA,Palo Alto,CA
76,84,Customer Data Scientist/Sales Engineer (Bay,4.3,h2o.ai,201 - 500 ,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,79,222 ,79,222,150.5,h2o.ai,CA,10,data scientist,na,P,Mountain View,CA,Mountain View,CA
77,85,Research Scientist,1.9,GNS Healthcare,51 - 200 ,2000,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),-1,57,118 ,57,118,87.5,GNS Healthcare,MA,21,other scientist,na,M,Cambridge,MA,Cambridge,MA
78,86,Data Scientist,3.3,Peraton,1001 - 5000 ,2017,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),-1,83,137 ,83,137,110.0,Peraton,VA,4,data scientist,na,na,Chantilly,VA,Herndon,VA
79,87,Data Scientist,4.4,Pactera,10000+ ,1995,Company - Private,IT Services,Information Technology,$500 million to $1 billion (USD),"Infosys, EPAM, Accenture",86,141 ,86,141,113.5,Pactera,CA,26,data scientist,na,na,San Jose,CA,Beijing,China
80,88,Data Scientist,3.9,Nurx,51 - 200 ,2016,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),-1,94,154 ,94,154,124.0,Nurx,CA,5,data scientist,na,na,San Francisco,CA,San Francisco,CA
81,89,Jr. Business Data Analyst,4.7,webfx.com,201 - 500 ,1997,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),-1,37,76 ,37,76,56.5,webfx.com,PA,24,analyst,jr,na,Harrisburg,PA,Harrisburg,PA
82,90,Data Scientist,4.5,Johns Hopkins University Applied Physics Laboratory,5001 - 10000 ,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),"MIT Lincoln Laboratory, Lockheed Martin, Northrop Grumman",100,160 ,100,160,130.0,Johns Hopkins University Applied Physics Laboratory,MD,79,data scientist,na,na,Laurel,MD,Laurel,MD
83,91,Data Analyst,4.3,Productive Edge,51 - 200 ,2008,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),"Numerator, Rise Interactive, Salom",55,100 ,55,100,77.5,Productive Edge,IL,13,analyst,na,na,Chicago,IL,Chicago,IL
84,92,Data Engineer,4.0,Excella Consulting,201 - 500 ,2002,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1,60,114 ,60,114,87.0,Excella Consulting,VA,19,data engineer,na,na,Arlington,VA,Arlington,VA
85,93,Data Analyst,4.4,Gensco,501 - 1000 ,1948,Company - Private,Wholesale,Business Services,$100 to $500 million (USD),-1,39,68 ,39,68,53.5,Gensco,WA,73,analyst,na,na,Tacoma,WA,Tacoma,WA
86,94,Staff Data Scientist - Technology,3.2,Walmart,10000+ ,1962,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),"Target, Costco Wholesale, Amazon",106,172 ,106,172,139.0,Walmart,TX,59,data scientist,na,M,Plano,TX,Bentonville,AR
87,95,Data Scientist,3.8,Logic20/20,201 - 500 ,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1,86,142 ,86,142,114.0,Logic20/20,CA,16,data scientist,na,M,San Jose,CA,Seattle,WA
88,96,Data Scientist,4.2,goTRG,501 - 1000 ,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),-1,64,107 ,64,107,85.5,goTRG,FL,13,data scientist,na,na,Miami,FL,Miami,FL
89,97,Data Management Specialist,4.5,NMR Consulting,51 - 200 ,1996,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,31,65 ,31,65,48.0,NMR Consulting,AL,25,na,na,na,Huntsville,AL,Chantilly,VA
90,99,E-Commerce Data Analyst,3.5,iSeatz,51 - 200 ,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,34,62 ,34,62,48.0,iSeatz,LA,22,analyst,na,na,New Orleans,LA,New Orleans,LA
91,101,Sr. Scientist II,3.5,Nektar Therapeutics,201 - 500 ,1990,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"Bristol-Myers Squibb, Merck, GlaxoSmithKline",117,231 ,117,231,174.0,Nektar Therapeutics,CA,31,other scientist,sr,M,San Francisco,CA,San Francisco,CA
92,102,Insurance Data Scientist,3.9,TransUnion,5001 - 10000 ,1968,Company - Public,Financial Analytics & Research,Finance,$1 to $2 billion (USD),-1,64,106 ,64,106,85.0,TransUnion,GA,53,data scientist,na,na,Atlanta,GA,Chicago,IL
93,104,Data Modeler,4.7,IT Concepts,51 - 200 ,2003,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1,79,134 ,79,134,106.5,IT Concepts,MD,18,data modeler,na,na,Landover,MD,Vienna,VA
94,105,Data Analyst / Scientist,4.2,Scientific Research Corporation,1001 - 5000 ,1988,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1,52,93 ,52,93,72.5,Scientific Research Corporation,MD,33,analyst,na,na,Patuxent River,MD,Atlanta,GA
95,106,Scientist,3.4,General Dynamics Information Technology,10000+ ,1996,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion (USD),"SAIC, Leidos, Northrop Grumman",55,116 ,55,116,85.5,General Dynamics Information Technology,MD,25,other scientist,na,M,Suitland,MD,Fairfax,VA
96,107,Data Scientist,3.2,MITRE,5001 - 10000 ,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),"Battelle, General Atomics, SAIC",72,123 ,72,123,97.5,MITRE,VA,63,data scientist,na,na,McLean,VA,Bedford,MA
97,108,Data Scientist,3.9,The Buffalo Group,501 - 1000 ,2010,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"ManTech, Booz Allen Hamilton, Leidos",74,124 ,74,124,99.0,The Buffalo Group,VA,11,data scientist,na,na,Fort Belvoir,VA,Reston,VA
98,109,Data Analyst,3.1,DentaQuest,1001 - 5000 ,2001,Company - Private,Insurance Carriers,Insurance,$2 to $5 billion (USD),"MCNA Dental Plans, United Concordia, Delta Dental Plans Association",40,73 ,40,73,56.5,DentaQuest,WI,20,analyst,na,na,Milwaukee,WI,Boston,MA
99,110,Lead Data Scientist,4.1,Redjack,Jan-50,2007,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,102,164 ,102,164,133.0,Redjack,MD,14,data scientist,sr,na,Silver Spring,MD,Silver Spring,MD
100,112,Data Scientist,3.8,7Park Data,51 - 200 ,2012,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,-1,89,153 ,89,153,121.0,7Park Data,NY,9,data scientist,na,na,New York,NY,New York,NY
